date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2022-11-28,1908,FIFA World Cup,South Korea,Ghana,66.44,60.03,0.443,0.2348,0.3222,1.23,0.81,2,3,1.56,0.51,2.31,0.73,2.1,3.15
2022-11-28,1908,FIFA World Cup,Brazil,Switzerland,93.66,77.52,0.6427,0.1202,0.2372,1.84,0.65,1,0,1.46,0.27,1.23,0.61,1.05,0.0
2022-11-28,1908,FIFA World Cup,Portugal,Uruguay,87.3,79.7,0.4392,0.2628,0.298,1.37,1.0,2,0,1.42,1.18,1.28,1.36,1.58,0.0
2022-11-29,1908,FIFA World Cup,Netherlands,Qatar,84.38,48.46,0.7768,0.0696,0.1536,2.6,0.65,2,0,1.36,0.19,1.06,0.45,2.1,0.0
2022-11-29,1908,FIFA World Cup,Ecuador,Senegal,75.82,73.0,0.3668,0.2961,0.3371,1.06,0.92,1,2,0.61,1.73,0.77,1.14,1.05,2.1
2022-11-29,1908,FIFA World Cup,Iran,USA,65.77,72.55,0.3082,0.3764,0.3154,1.04,1.18,0,1,0.75,0.92,1.1,1.17,0.0,1.05
2022-11-29,1908,FIFA World Cup,Wales,England,65.17,85.41,0.1437,0.6,0.2564,0.7,1.72,0,3,0.28,1.8,0.32,1.93,0.0,3.15
2022-11-30,1908,FIFA World Cup,Tunisia,France,65.92,90.15,0.1116,0.651,0.2374,0.6,1.82,1,0,0.29,0.43,0.61,1.21,1.05,0.0
2022-11-30,1908,FIFA World Cup,Australia,Denmark,58.8,77.68,0.1985,0.522,0.2795,0.85,1.56,1,0,0.47,0.62,0.4,1.75,1.05,0.0
2022-11-30,1908,FIFA World Cup,Poland,Argentina,68.95,86.03,0.1547,0.5784,0.2669,0.71,1.64,0,2,0.24,3.28,0.32,2.24,0.0,2.1
2022-11-30,1908,FIFA World Cup,Saudi Arabia,Mexico,58.41,72.44,0.2307,0.4627,0.3066,0.86,1.34,1,2,0.62,1.81,0.71,2.27,1.05,2.1
2022-12-01,1908,FIFA World Cup,Canada,Morocco,71.52,74.99,0.2898,0.3956,0.3147,0.99,1.21,1,2,0.98,0.37,0.68,0.24,1.05,2.1
2022-12-01,1908,FIFA World Cup,Croatia,Belgium,80.87,79.44,0.3881,0.3253,0.2866,1.38,1.24,0,0,0.63,2.62,1.44,1.92,0.0,0.0
2022-12-01,1908,FIFA World Cup,Costa Rica,Germany,52.9,88.86,0.0512,0.8045,0.1442,0.5,2.55,2,4,1.27,4.41,0.33,5.9,2.1,3.72
2022-12-01,1908,FIFA World Cup,Japan,Spain,70.43,90.62,0.1391,0.6135,0.2474,0.71,1.79,2,1,0.53,0.79,0.81,1.1,2.1,1.05
2022-12-02,1908,FIFA World Cup,Ghana,Uruguay,60.5,79.28,0.1564,0.5669,0.2766,0.68,1.57,0,2,1.35,1.12,0.73,1.44,0.0,2.1
2022-12-02,1908,FIFA World Cup,South Korea,Portugal,66.93,87.55,0.1666,0.5866,0.2468,0.86,1.84,2,1,0.85,0.9,0.72,0.64,2.1,1.05
2022-12-02,1908,FIFA World Cup,Serbia,Switzerland,74.72,77.0,0.3126,0.3965,0.2909,1.18,1.36,2,3,0.64,2.42,1.47,1.28,2.1,3.15
2022-12-02,1908,FIFA World Cup,Cameroon,Brazil,64.48,93.48,0.0363,0.8112,0.1524,0.31,2.29,1,0,0.38,2.75,0.81,2.99,1.05,0.0
2022-12-03,1908,FIFA World Cup,Netherlands,USA,83.97,73.07,0.6551,0.3449,0.0,1.42,0.88,3,1,1.16,1.43,1.4,1.08,2.87,1.05
2022-12-03,1908,FIFA World Cup,Argentina,Australia,87.98,59.35,0.8261,0.1739,0.0,1.85,0.57,2,1,1.27,0.32,1.32,0.92,2.1,1.05
2022-12-04,1908,FIFA World Cup,France,Poland,88.57,65.77,0.8133,0.1867,0.0,1.99,0.71,3,1,1.17,1.91,1.54,0.85,2.52,1.05
2022-12-04,1908,FIFA World Cup,England,Senegal,86.97,75.47,0.6814,0.3186,0.0,1.47,0.83,3,0,0.87,1.09,0.97,0.62,3.15,0.0
2022-12-05,1908,FIFA World Cup,Japan,Croatia,73.02,79.14,0.454,0.546,0.0,1.1,1.27,1,1,1.55,1.43,0.94,1.61,1.05,1.05
2022-12-05,1908,FIFA World Cup,Brazil,South Korea,92.9,69.4,0.8261,0.1739,0.0,1.89,0.58,4,1,2.96,0.67,1.56,0.69,4.2,1.05
2022-12-06,1908,FIFA World Cup,Morocco,Spain,74.42,89.2,0.2711,0.7289,0.0,0.65,1.44,0,0,0.69,1.01,0.67,1.58,0.0,0.0
2022-12-06,1908,FIFA World Cup,Portugal,Switzerland,85.8,78.51,0.6158,0.3842,0.0,1.51,1.08,6,1,1.34,0.98,1.42,0.7,5.78,1.05
2022-12-09,1908,FIFA World Cup,Croatia,Brazil,78.99,93.47,0.2264,0.7736,0.0,0.68,1.72,1,1,0.62,1.9,1.1,2.74,1.05,1.05
2022-12-09,1908,FIFA World Cup,Netherlands,Argentina,84.19,87.32,0.4238,0.5762,0.0,1.04,1.31,2,2,0.43,1.52,1.29,1.79,2.1,2.03
2022-12-10,1908,FIFA World Cup,Morocco,Portugal,74.45,87.92,0.3185,0.6815,0.0,0.83,1.46,1,0,0.57,1.11,0.67,1.32,1.05,0.0
2022-12-10,1908,FIFA World Cup,England,France,87.59,87.53,0.516,0.484,0.0,1.29,1.23,1,2,2.42,0.97,1.4,1.53,1.05,2.1
2022-12-13,1908,FIFA World Cup,Argentina,Croatia,87.46,79.37,0.6426,0.3574,0.0,1.33,0.84,3,0,1.69,0.53,1.3,1.16,3.15,0.0
2022-12-14,1908,FIFA World Cup,France,Morocco,87.72,75.13,0.6646,0.3354,0.0,1.38,0.82,2,0,1.4,0.79,1.43,0.7,1.87,0.0
2022-12-17,1908,FIFA World Cup,Croatia,Morocco,77.65,73.92,0.5325,0.4675,0.0,0.97,0.88,2,1,0.76,0.96,1.52,0.73,2.1,1.05
2022-12-18,1908,FIFA World Cup,Argentina,France,88.86,88.41,0.5321,0.4679,0.0,1.3,1.18,3,3,2.81,2.25,2.36,0.76,3.15,3.15
